Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
A.J. Hammons;MIA;$350,088;$350,087;$350,087;;;;;$1,050,262
Festus Ezeli;POR;$333,333;$333,333;;;;;;$666,666
C.J. Watson;ORL;$333,333;$333,333;;;;;;$666,666
Patrick McCaw;CLE;$323,529;;;;;;;$323,529
Miroslav Raduljica;LAC;$252,043;;;;;;;$252,043
Ron Baker;WAS;$170,915;;;;;;;$170,915
Troy Williams;HOU;$122,741;$122,741;$122,741;$122,741;$122,741;;;$613,705
Demetrius Jackson;BOS;$92,857;$92,857;$92,857;$92,857;$92,857;;;$557,142
Shaquille Harrison;PHO;$50,000;;;;;;;$50,000
Garlon Green;NOP;$50,000;;;;;;;$50,000
Troy Williams;NOP;$34,183;;;;;;;$34,183
