Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
Tony Parker;CHO;$5,000,000;$5,000,000;;;;;MLE;$10,000,000
Mike Muscala;PHI;$5,000,000;;;;;;Cap space;$5,000,000
Dirk Nowitzki;DAL;$5,000,000;;;;;;Cap Space;$5,000,000
Jonathan Isaac;ORL;$4,969,080;$5,806,440;$7,362,566;;;;1st Round Pick;$10,775,520
Mohamed Bamba;ORL;$4,865,040;$5,697,600;$5,969,040;$7,568,742;;;1st Round Pick;$24,100,422
Willie Cauley-Stein;SAC;$4,696,875;;;;;;1st round pick;$4,696,875
Dragan Bender;PHO;$4,661,280;;;;;;1st Round pick;$4,661,280
Ron Baker;NYK;$4,544,400;;;;;;;$4,544,400
Lauri Markkanen;CHI;$4,536,120;$5,300,400;$6,731,508;;;;1st Round Pick;$9,836,520
Lance Stephenson;LAL;$4,449,000;;;;;;;$4,449,000
Kyle O'Quinn;IND;$4,449,000;;;;;;Room Exception;$4,449,000
Ed Davis;BRK;$4,449,000;;;;;;Room Exception;$4,449,000
Wendell Carter;CHI;$4,441,200;$5,201,400;$5,448,840;$6,920,027;;;1st Round Pick;$9,642,600
Justin Holiday;MEM;$4,384,616;;;;;;MLE;$4,384,616
Alex Len;ATL;$4,350,000;$4,160,000;;;;;Room Exception;$8,510,000
Luc Mbah a Moute;LAC;$4,320,500;;;;;;MLE;$4,320,500
Mike Scott;LAC;$4,320,500;;;;;;MLE;$4,320,500
Emmanuel Mudiay;NYK;$4,294,480;;;;;;1st round pick;$4,294,480
Kris Dunn;CHI;$4,221,000;$5,348,007;;;;;1st Round pick;$9,569,007
Frank Ntilikina;NYK;$4,155,720;$4,855,800;$6,176,578;;;;1st Round Pick;$9,011,520
Glenn Robinson;DET;$4,075,000;$4,150,000;;;;;MLE;$4,075,000
Collin Sexton;CLE;$4,068,600;$4,764,960;$4,991,880;$6,349,671;;;1st Round Pick;$8,833,560
Al Jefferson;IND;$4,000,000;;;;;;;$4,000,000
Stanley Johnson;DET;$3,940,402;;;;;;1st round pick;$3,940,402
Buddy Hield;SAC;$3,833,760;$4,861,208;;;;;1st Round pick;$8,694,968
Dennis Smith;DAL;$3,819,960;$4,463,640;$5,686,677;;;;1st Round Pick;$8,283,600
Kevin Knox;NYK;$3,739,920;$4,380,120;$4,588,680;$5,845,978;;;1st Round Pick;$8,120,040
J.J. Barea;DAL;$3,710,850;;;;;;Cap Space;$3,710,850
Nene Hilario;HOU;$3,651,480;$3,825,360;;;;;Non-Bird Rights;$7,476,840
Zach Collins;POR;$3,628,920;$4,240,200;$5,406,255;;;;1st Round Pick;$7,869,120
Frank Kaminsky;CHO;$3,627,842;;;;;;1st round pick;$3,627,842
Mikal Bridges;PHO;$3,552,960;$4,161,000;$4,359,000;$5,557,725;;;1st Round Pick;$7,713,960
Mirza Teletovic;MIL;$3,500,000;$3,500,000;$3,500,000;;;;;$10,500,000
Michael Beasley;LAL;$3,500,000;;;;;;Room Exception;$3,500,000
Jamal Murray;DEN;$3,499,800;$4,444,746;;;;;1st Round pick;$7,944,546
Rodney Hood;CLE;$3,472,887;;;;;;;$3,472,887
Justise Winslow;MIA;$3,448,926;$13,000,000;$13,000,000;$13,000,000;;;1st round pick;$29,448,926
Malik Monk;CHO;$3,447,480;$4,028,400;$5,345,687;;;;1st Round Pick;$7,475,880
Myles Turner;IND;$3,410,284;$18,000,000;$18,000,000;$18,000,000;$18,000,000;;1st round pick;$75,410,284
Allonzo Trier;NYK;$3,382,000;$3,551,100;;;;;Bi-Annual Exception;$3,382,000
Brook Lopez;MIL;$3,382,000;;;;;;Bi-annual Exception;$3,382,000
Shai Gilgeous-Alexander;LAC;$3,375,360;$3,952,920;$4,141,320;$5,495,532;;;1st Round Pick;$7,328,280
Trey Lyles;DEN;$3,364,249;;;;;;1st round pick;$3,364,249
Ekpe Udoh;UTA;$3,360,000;;;;;;Room Exception;$3,360,000
Devin Booker;PHO;$3,314,365;$27,250,000;$29,430,000;$31,610,000;$33,790,000;;1st round pick;$161,314,365
Luke Kennard;DET;$3,275,280;$3,827,160;$5,273,826;;;;1st Round Pick;$7,102,440
Troy Daniels;PHO;$3,258,539;;;;;;Cap Space;$3,258,539
Kelly Oubre;PHO;$3,208,630;;;;;;1st round pick;$3,208,630
Miles Bridges;CHO;$3,206,640;$3,755,400;$3,934,320;$5,421,493;;;1st Round Pick;$6,962,040
Marquese Chriss;HOU;$3,206,160;;;;;;1st Rd pick;$3,206,160
Tomas Satoransky;WAS;$3,129,187;;;;;;Cap Space;$3,129,187
Bryn Forbes;SAS;$3,125,000;$2,875,000;;;;;Early Bird Rights;$6,000,000
Donovan Mitchell;UTA;$3,111,480;$3,635,760;$5,195,501;;;;1st Round Pick;$6,747,240
Terry Rozier;BOS;$3,050,390;;;;;;1st round pick;$3,050,390
Jerome Robinson;LAC;$3,046,200;$3,567,720;$3,737,520;$5,340,916;;;1st Round Pick;$6,613,920
Yogi Ferrell;SAC;$3,000,000;$3,150,000;;;;;Cap Space;$3,000,000
Elfrid Payton;NOP;$3,000,000;;;;;;Bi-annual Exception;$3,000,000
Bam Adebayo;MIA;$2,955,840;$3,454,080;$5,115,492;;;;1st Round Pick;$6,409,920
Jakob Poeltl;SAS;$2,947,320;$3,754,886;;;;;1st Round pick;$6,702,206
Michael Porter;DEN;$2,894,160;$3,389,400;$3,550,800;$5,258,735;;;1st Round Pick;$6,283,560
Andrew Nicholson;POR;$2,844,429;$2,844,429;$2,844,429;$2,844,429;$2,844,429;;;$17,066,574
Justin Jackson;SAC;$2,807,880;$3,280,920;$5,029,650;;;;1st Round Pick;$6,088,800
Thon Maker;MIL;$2,799,720;$3,569,643;;;;;1st Round pick;$6,369,363
Seth Curry;POR;$2,795,000;;;;;;MLE;$2,795,000
Cedi Osman;CLE;$2,775,000;$2,907,143;;;;;MLE;$5,682,143
Sam Dekker;WAS;$2,760,095;;;;;;1st Round pick;$2,760,095
Troy Brown;WAS;$2,749,080;$3,219,480;$3,372,840;$5,170,564;;;1st Round Pick;$5,968,560
Guerschon Yabusele;BOS;$2,667,600;$3,117,240;$4,781,846;;;;1st Round Pick;$5,784,840
Justin Patton;PHI;$2,667,600;;;;;;1st Round Pick;$2,667,600
Domantas Sabonis;IND;$2,659,800;$3,529,555;;;;;1st Round pick;$6,189,355
Jerian Grant;ORL;$2,639,314;;;;;;1st Round pick;$2,639,314
Zhaire Smith;PHI;$2,611,800;$3,058,800;$3,204,600;$4,915,856;;;1st Round Pick;$5,670,600
Delon Wright;TOR;$2,536,898;;;;;;1st Round pick;$2,536,898
D.J. Wilson;MIL;$2,534,280;$2,961,120;$4,548,280;;;;1st Round Pick;$5,495,400
Dario Saric;MIN;$2,526,840;$3,481,986;;;;;1st Round pick;$6,008,826
Taurean Waller-Prince;ATL;$2,526,840;$3,481,986;;;;;1st Round pick;$6,008,826
Justin Anderson;ATL;$2,516,048;;;;;;1st Round pick;$2,516,048
Manu Ginobili;SAS;$2,500,000;;;;;;;$2,500,000
Dante Cunningham;SAS;$2,500,000;;;;;;Bi-annual Exception;$2,500,000
Reggie Bullock;DET;$2,500,000;;;;;;Cap space;$2,500,000
Bobby Portis;CHI;$2,494,346;;;;;;1st Round pick;$2,494,346
Donte DiVincenzo;MIL;$2,481,000;$2,905,800;$3,044,160;$4,675,830;;;1st Round Pick;$5,386,800
Rondae Hollis-Jefferson;BRK;$2,470,357;;;;;;1st Round pick;$2,470,357
Tyus Jones;MIN;$2,444,053;;;;;;1st Round pick;$2,444,053
Jarell Martin;ORL;$2,416,222;;;;;;1st Round pick;$2,416,222
T.J. Leaf;IND;$2,407,560;$2,813,280;$4,326,825;;;;1st Round Pick;$5,220,840
Jeff Green;WAS;$2,393,887;;;;;;Minimum Salary;$2,393,887
Amir Johnson;PHI;$2,393,887;;;;;;Minimum Salary;$2,393,887
Raymond Felton;OKC;$2,393,887;;;;;;Minimum Salary;$2,393,887
Luol Deng;MIN;$2,393,887;;;;;;;$2,393,887
Udonis Haslem;MIA;$2,393,887;;;;;;Minimum Salary;$2,393,887
Dwyane Wade;MIA;$2,393,887;;;;;;Minimum Salary;$2,393,887
JaVale McGee;LAL;$2,393,887;;;;;;Minimum Salary;$2,393,887
Gerald Green;HOU;$2,393,887;;;;;;Minimum Salary;$2,393,887
Carmelo Anthony;HOU;$2,393,887;;;;;;Minimum Salary;$2,393,887
Zaza Pachulia;DET;$2,393,887;;;;;;Minimum Salary;$2,393,887
Jose Calderon;DET;$2,393,887;;;;;;Minimum Salary;$2,393,887
Devin Harris;DAL;$2,393,887;;;;;;Minimum Salary;$2,393,887
Channing Frye;CLE;$2,393,887;;;;;;Minimum Salary;$2,393,887
Vince Carter;ATL;$2,393,887;;;;;;Minimum Salary;$2,393,887
Jamal Crawford;PHO;$2,393,887;;;;;;;
Tyson Chandler;LAL;$2,393,887;;;;;;;
Lonnie Walker;SAS;$2,357,160;$2,760,480;$2,892,000;$4,447,896;;;1st Round Pick;$5,117,640
Jamal Crawford;ATL;$2,304,226;;;;;;;$2,304,226
John Collins;ATL;$2,299,080;$2,686,560;$4,137,302;;;;1st Round Pick;$4,985,640
Denzel Valentine;CHI;$2,280,600;$3,377,569;;;;;1st Round pick;$5,658,169
Larry Nance;CLE;$2,272,391;$12,727,273;$11,709,091;$10,690,909;$9,672,727;;1st Round pick;$47,072,391
Kevin Huerter;ATL;$2,250,960;$2,636,280;$2,761,920;$4,253,357;;;1st Round Pick;$4,887,240
Monta Ellis;IND;$2,245,400;$2,245,400;$2,245,400;$2,245,400;;;;$8,981,600
Harry Giles;SAC;$2,207,040;$2,578,800;$3,976,510;;;;1st Round Pick;$4,785,840
Darius Miller;NOP;$2,205,000;;;;;;MLE;$2,205,000
Derrick Rose;MIN;$2,176,260;;;;;;Minimum Salary;$2,176,260
Omri Casspi;MEM;$2,176,260;;;;;;Minimum Salary;$2,176,260
Juan Hernangomez;DEN;$2,166,360;$3,321,030;;;;;1st Round pick;$5,487,390
Greg Monroe;TOR;$2,165,481;;;;;;Minimum Salary;$2,165,481
Quincy Pondexter;SAS;$2,165,481;;;;;;;$2,165,481
Jonas Jerebko;GSW;$2,165,481;;;;;;Minimum Salary;$2,165,481
Josh Okogie;MIN;$2,160,720;$2,530,680;$2,651,040;$4,087,904;;;1st Round Pick;$4,691,400
Raul Neto;UTA;$2,150,000;$2,150,000;;;;;;$2,150,000
Matt Barnes;SAC;$2,133,542;$2,133,541;;;;;;$4,267,083
Terrance Ferguson;OKC;$2,118,840;$2,475,840;$3,944,013;;;;1st Round Pick;$4,594,680
Grayson Allen;UTA;$2,074,320;$2,429,400;$2,545,320;$4,054,695;;;1st Round Pick;$4,503,720
Jarrett Allen;BRK;$2,034,120;$2,376,840;$3,909,902;;;;1st Round Pick;$4,410,960
Shelvin Mack;MEM;$2,029,463;;;;;;Minimum Salary;$2,029,463
Isaiah Thomas;DEN;$2,029,463;;;;;;Minimum Salary;$2,029,463
Spencer Hawes;MIL;$2,007,058;$2,007,058;;;;;;$4,014,116
Georgios Papagiannis;SAC;$2,000,400;;;;;;;$2,000,400
Torrey Craig;DEN;$2,000,000;$2,100,000;;;;;MLE;$4,100,000
Chandler Hutchison;CHI;$1,991,520;$2,332,320;$2,443,440;$4,019,459;;;1st Round Pick;$4,323,840
OG Anunoby;TOR;$1,952,760;$2,281,800;$3,872,215;;;;1st Round Pick;$4,234,560
Ante Zizic;CLE;$1,952,760;$2,281,800;$3,872,215;;;;1st Round Pick;$4,234,560
Shabazz Napier;BRK;$1,942,422;$1,845,301;;;;;Cap Space;$1,942,422
Anderson Varejao;POR;$1,913,345;$1,913,345;$1,913,345;;;;;$5,740,035
Aaron Holiday;IND;$1,911,960;$2,239,200;$2,345,640;$3,980,551;;;1st Round Pick;$4,151,160
Tim Duncan;SAS;$1,881,250;;;;;;;$1,881,250
Tyler Lydon;DEN;$1,874,640;;;;;;1st Round Pick;$1,874,640
Larry Sanders;MIL;$1,865,547;$1,865,547;$1,865,547;$1,865,547;;;;$7,462,188
Henry Ellenson;DET;$1,857,480;;;;;;1st Round pick;$1,857,480
Anfernee Simons;POR;$1,835,520;$2,149,560;$2,252,040;$3,938,818;;;1st Round Pick;$3,985,080
Trey Burke;NYK;$1,795,015;;;;;;Minimum Salary;$1,795,015
Malik Beasley;DEN;$1,773,840;$2,731,714;;;;;1st Round pick;$4,505,554
Moritz Wagner;LAL;$1,762,080;$2,063,520;$3,893,618;$2,161,920;;;1st Round Pick;$3,825,600
Nerlens Noel;OKC;$1,757,429;$1,988,119;;;;;Minimum Salary;$1,757,429
Ian Clark;NOP;$1,757,429;;;;;;Minimum Salary;$1,757,429
Caleb Swanigan;POR;$1,740,000;$2,033,160;$3,665,787;;;;1st Round Pick;$3,773,160
Furkan Korkmaz;PHI;$1,740,000;;;;;;1st Round Pick;$1,740,000
Joakim Noah;MEM;$1,731,173;;;;;;;
Landry Shamet;PHI;$1,703,640;$1,995,120;$2,090,040;$3,768,342;;;1st Round Pick;$3,698,760
Caris LeVert;BRK;$1,702,800;$2,625,718;;;;;1st Round pick;$4,328,518
Jonah Bolden;PHI;$1,690,000;$1,698,450;$1,766,550;$1,845,000;;;;$3,388,450
Kyle Kuzma;LAL;$1,689,840;$1,974,600;$3,562,178;;;;1st Round Pick;$3,664,440
Tony Bradley;UTA;$1,679,520;$1,962,360;$3,542,060;;;;1st Round Pick;$3,641,880
Derrick White;SAS;$1,667,160;$1,948,080;$3,516,284;;;;1st Round Pick;$3,615,240
Spencer Dinwiddie;BRK;$1,656,092;$10,600,000;$11,400,000;$12,300,000;;;Minimum Salary;$23,656,092
MarShon Brooks;CHI;$1,656,092;;;;;;;$1,656,092
Josh Hart;LAL;$1,655,160;$1,934,160;$3,491,159;;;;1st Round Pick;$3,589,320
Robert Williams;BOS;$1,654,440;$1,937,520;$2,029,920;$3,661,976;;;1st Round Pick;$3,591,960
Jacob Evans;GSW;$1,644,240;$1,925,880;$2,017,320;$3,641,263;;;1st Round Pick;$3,570,120
Pat Connaughton;MIL;$1,641,000;$1,719,000;;;;;;$1,641,000
DeAndre' Bembry;ATL;$1,634,640;$2,603,982;;;;;1st Round pick;$4,238,622
Dzanan Musa;BRK;$1,632,240;$1,911,600;$2,002,800;$3,615,054;;;1st Round Pick;$3,543,840
Nik Stauskas;POR;$1,621,415;;;;;;Minimum Salary;$1,621,415
Noah Vonleh;NYK;$1,621,415;;;;;;Minimum Salary;$1,621,415
Tim Frazier;NOP;$1,621,415;;;;;;Minimum Salary;$1,621,415
James Ennis;HOU;$1,621,415;$1,845,301;;;;;;$1,621,415
Omari Spellman;ATL;$1,620,480;$1,897,800;$1,988,280;$3,588,845;;;1st Round Pick;$3,518,280
Luke Kornet;NYK;$1,619,000;;;;;;;$1,619,000
Rodions Kurucs;BRK;$1,618,320;$1,699,236;$1,780,152;$1,861,068;;;;$5,097,708
Richaun Holmes;PHO;$1,600,520;;;;;;Cap Space;$1,600,520
T.J. McConnell;PHI;$1,600,520;;;;;;Minimum Salary;$1,600,520
Malachi Richardson;TOR;$1,569,360;;;;;;1st Round pick;$1,569,360
Jahlil Okafor;NOP;$1,567,007;$1,702,486;;;;;Minimum Salary;$1,567,007
Kevon Looney;GSW;$1,567,007;;;;;;;$1,567,007
Salah Mejri;DAL;$1,567,007;;;;;;Minimum Salary;$1,567,007
Pascal Siakam;TOR;$1,544,951;$2,351,839;;;;;1st Round pick;$3,896,790
Skal Labissiere;SAC;$1,544,951;$2,338,847;;;;;1st Round pick;$3,883,798
Dejounte Murray;SAS;$1,544,951;$2,321,735;;;;;1st Round pick;$3,866,686
Damian Jones;GSW;$1,544,951;$2,305,057;;;;;1st Round pick;$3,850,008
Deyonta Davis;SAC;$1,544,951;;;;;;;$1,544,951
Wade Baldwin;POR;$1,544,951;;;;;;Minimum Salary;$1,544,951
Jake Layman;POR;$1,544,951;;;;;;Cap Space;$1,544,951
Timothe Luwawu-Cabarrot;OKC;$1,544,951;;;;;;1st Round pick;$1,544,951
Cheick Diallo;NOP;$1,544,951;;;;;;Minimum Salary;$1,544,951
Malcolm Brogdon;MIL;$1,544,951;;;;;;Cap Space;$1,544,951
Rodney McGruder;MIA;$1,544,951;;;;;;Minimum Salary;$1,544,951
Ivica Zubac;LAL;$1,544,951;;;;;;Cap Space;$1,544,951
Quinn Cook;GSW;$1,544,951;;;;;;;$1,544,951
